variable,n,group_beta,group_se,group_ci_low,group_ci_high,group_p_raw,partial_eta2,r_squared,adj_r_squared,q_fdr_bh
WM_ACC,96,0.850321552893877,0.30866739608345956,0.24534457336853654,1.4552985324192176,0.005872534176580952,0.07697618314080151,0.251570105266115,0.218672087915175,0.24664643541639997
TOL_TP,101,15.59544882077083,8.305415052932467,-0.6828655596336333,31.873763201175294,0.06041610311868037,0.03542720183020654,0.15773609510154551,0.12264176573077656,0.6195714987921974
CBT_F_SPAN,101,-0.4166318230099381,0.22234617832011505,-0.8524223246174842,0.019158678597607948,0.060958272945526734,0.035283684496479284,0.2946237634656699,0.2652330869434061,0.6195714987921974
PWM_EFF,101,-3.4524604159656844,1.8910643982061628,-7.158878528895675,0.25395769696430603,0.06789991486640193,0.033554510616586854,0.1488594175100615,0.11339522657298062,0.6195714987921974
TOL_TP_LN,101,0.18353590535282813,0.1088682951634096,-0.02984203222573084,0.3969138429313871,0.09182418135901785,0.028753934056148494,0.1314987601383676,0.09531120847746621,0.6195714987921974
PLANNING_TE_LN,95,-0.14244978717876203,0.085028532234523,-0.30910264801673015,0.024203073659206098,0.09387195568612655,0.030242310451734627,0.3192955102990791,0.2890419774234826,0.6195714987921974
PLANNING_TR_LN,96,-0.12713724587360792,0.08396854436572958,-0.29171256866469153,0.03743807691747572,0.12999905065733677,0.024573416650224604,0.3055856954736985,0.27506198978023466,0.6195714987921974
CBT_B_SPAN,101,0.5425432131638136,0.3601617334877436,-0.16336081308167738,1.2484472394093045,0.1319676707885079,0.02309171008366902,0.31577199824457536,0.28726249817143257,0.6195714987921974
WM_SPAN,96,0.3506132552517274,0.2555223112267904,-0.1502012719992165,0.8514277825026713,0.1700187982601653,0.0202704697830089,0.14443791558854657,0.10683079099903203,0.6195714987921974
PWM_TP,96,-2205.286160478751,1709.5138993090286,-5555.871834195079,1145.2995132375777,0.19704797100755156,0.01795862268948781,0.04553972934917194,0.003585431738146516,0.6195714987921974
PWM_TP_LN,83,-0.5680899854509462,0.44170637480460095,-1.4338185718097145,0.297638600907822,0.19839914486962407,0.020766279268929228,0.03437873145292136,-0.01514030795974941,0.6195714987921974
PWM_TE,96,2192.7640483843998,1709.9561015478473,-1158.6883257938962,5544.216422562696,0.19971951790590403,0.017749846224358105,0.045575550819886734,0.00362282777900258,0.6195714987921974
PWM_OST,96,-0.21182599258676885,0.1658811473921819,-0.5369470671896257,0.11329508201608798,0.2016112557600751,0.017603931194794187,0.060593235385173694,0.019300630347159342,0.6195714987921974
