measure,n,missing,mean,sd,median,q1,q3,min,max,skew
Raven_ACC_PRE,101,0,20.73267326732673,5.112516188940452,21.0,16.0,25.0,10,32,0.017034999688568152
Raven_ACC_POST,101,0,23.11881188118812,5.1289124163176565,24.0,20.0,27.0,7,32,-0.6421109535611453
