variable,n,group_beta,ci_low,ci_high,p_raw,partial_eta2,adj_r_squared,q_fdr_bh
WM_ACC,96,0.9471465876353858,0.3035930325288383,1.5907001427419334,0.003919526317794129,0.08462839765499344,0.26162000837023724,0.1763786843007358
TOL_TP_LN,101,0.24846596962913928,0.043802774966252594,0.453129164292026,0.017338836782650878,0.05624527550073439,0.2534837531979247,0.2973485815905827
TOL_TP,101,19.898649331496223,3.1578568924624015,36.63944177053004,0.01982323877270551,0.05404296425784086,0.22270966755422772,0.2973485815905827
CBT_F_SPAN,101,-0.40481245613643624,-0.8755266808048197,0.06590176853194718,0.09188026540872132,0.029038077829510525,0.26100426906451824,0.683294984794387
PWM_EFF,101,-3.6159918824004174,-7.925785199820275,0.6938014350194401,0.10008451815579081,0.027677379775203258,0.07674640303897662,0.683294984794387
WM_SPAN,96,0.46851679873150925,-0.09524416393241447,1.032277761395433,0.10334702770679974,0.028634953271025942,0.13140510122980043,0.683294984794387
CBT_B_SPAN,101,0.5614872017124712,-0.17917578900317344,1.3021501924281158,0.1373257353821095,0.022710885740242395,0.24834598037687694,0.683294984794387
PWM_TP_LN,83,-0.6206013221093476,-1.4787721315174647,0.23756948729876948,0.15637114239261096,0.02542714984529932,-0.022555229685224498,0.683294984794387
PWM_TP,96,-2331.9754653377117,-5592.832208969936,928.881278294512,0.16101904890350827,0.021362883399332684,-0.006295644602054118,0.683294984794387
PWM_TE,96,2322.3856025178247,-937.2827842984093,5582.053989334059,0.16259488726470006,0.02120638396023301,-0.006152031729682594,0.683294984794387
PLANNING_TE_LN,95,-0.11809526244274712,-0.2856010414314966,0.04941051654600237,0.16702766294973903,0.021003547579442634,0.29323872993938926,0.683294984794387
RAVEN_T_LN,101,0.04911132193756826,-0.02779755571510438,0.1260201995902409,0.2107285912317175,0.01622110293766258,0.05438170090031791,0.721902007345463
PLANNING_TR_LN,96,-0.10636063559615855,-0.273221484772354,0.06050021358003685,0.211547137496357,0.01704666868957523,0.2747959845705882,0.721902007345463
PWM_TR_LN,84,-0.17940177390507128,-0.4727863583583832,0.11398281054824061,0.23072296520373803,0.018082376962463377,0.030970804363585347,0.721902007345463
RAVEN_T,101,14.87157254460148,-10.042252566795671,39.785397655998636,0.24202404867353222,0.014203417400293303,0.04233006981288556,0.721902007345463
TOL_TE,100,-8.28628798109288,-23.08264302754211,6.510067065356354,0.27236895657350657,0.01265458765954085,0.19294974409043952,0.721902007345463
TOL_TE_LN,100,-0.05673437043137142,-0.1608637569329852,0.04739501607024238,0.2855762332352859,0.011986082190632942,0.21009927242159043,0.721902007345463
PWM_OST,96,-0.18221645694224717,-0.5217953103176378,0.1573623964331435,0.2929336796666756,0.012140671232665528,0.04434063228387053,0.721902007345463
PLANNING_TE,96,-22.69251542128446,-67.09664692877044,21.71161608620151,0.3165222967874084,0.011024470422114824,0.03001141325301493,0.721902007345463
WM_TRIAL,96,0.3377540479771126,-0.3520039488175175,1.0275120447717427,0.3371879621471312,0.010130693303504903,0.09028822052930563,0.721902007345463
TOL_VIO_REG,101,0.2932149250188091,-0.32917848956512197,0.9156083396027401,0.3558217142449225,0.00889476573171753,0.20373315073937592,0.721902007345463
TOL_TR_LN,101,0.050576672310456504,-0.06005807481692035,0.16121141943783335,0.37025410159758776,0.008379832457758444,0.2357353614031854,0.721902007345463
PLANNING_MATT,96,-2.9941169620365446,-9.706399957429586,3.7181660333564963,0.3819701169948053,0.00842127556572749,0.027427870659136988,0.721902007345463
PWM_TE_LN,74,-0.1541289304570196,-0.5116101186006274,0.20335225768658827,0.3980865548245255,0.010392314301677311,-0.017118343088924348,0.721902007345463
PLANNING_MATTI_MIN,96,-0.5598495641328015,-1.8665525711533095,0.7468534428877064,0.4010566707474794,0.007774153584072758,-0.024825912262149696,0.721902007345463
TOL_TR,101,10.419750374199456,-14.796625127757032,35.636125876155944,0.41800693042112047,0.006856992419142186,0.21729122733818407,0.72347353342117
PLANNING_PERC,100,1.4024856808898627,-2.830198789504579,5.635170151284305,0.5160621350574678,0.004466724753214307,0.093935486061412,0.7352397761829368
PWM_COMPOSITE,95,1.6080093553591008,-3.314064005121874,6.530082715840075,0.5219727143449426,0.0045855464338081875,0.007558296191140457,0.7352397761829368
PWM_MATT,96,-2.3014508086531897,-9.386250882045491,4.783349264739113,0.5243323668488638,0.004483840766009859,0.023091713390100965,0.7352397761829368
PLANNING_EFF,101,-1.878878311994849,-7.681822863249404,3.924066239259706,0.525690990788801,0.0042211998878665166,0.06420354369831238,0.7352397761829368
Raven_ACC,101,0.4974997629580786,-1.0502187139082837,2.045218239824441,0.5286865620060737,0.004160673830177769,0.5065216039409142,0.7352397761829368
PWM_PERC,100,1.593843727681518,-3.367076134155554,6.554763589518591,0.5288928524620146,0.00420056063516039,0.0056524193996703165,0.7352397761829368
PWM_ACC,96,0.39585835837798455,-0.880513989624636,1.672230706380605,0.5432738715271968,0.0040888308112854484,0.0076351890738454165,0.7352397761829368
PLANNING_ACC,96,-0.12160312243461277,-0.5424224884178063,0.2992162435485808,0.5711450683142099,0.0035514570494542554,-0.042244043217580796,0.7352397761829368
PLANNING_TRIAL,96,-0.10321863916880158,-0.4610748149949786,0.25463753665737543,0.5718531592533953,0.0035384530830022847,0.08926078541520532,0.7352397761829368
PLANNING_TR,96,-9.769898551482235,-47.67497881196488,28.135181709000406,0.613436847239843,0.002827542972986601,0.3122298231896623,0.7667960590498039
PWM_TR,96,-5.815373567596744,-30.185273375625183,18.554526240431695,0.6399956014064314,0.0024246392734498705,0.050298092657301674,0.7783730287375517
PLANNING_SPAN,96,-0.039591217668973,-0.21813626771183697,0.13895383237389097,0.6638459559146856,0.0020943306669362134,-0.023530632615730518,0.7861333688463382
PLANNING_COMPOSITE,96,0.6042544079455989,-2.3210470883088723,3.5295559042000706,0.6855856205738529,0.001817865940602961,-0.013499170030665919,0.7910603314313687
PLANNING_TP,96,-2.1320641027128233,-16.41171733951965,12.147589134094005,0.7697988814195396,0.0009506175369181479,-0.016190343989981093,0.8508887298607979
PWM_MATT_MIN,96,0.9189045562533931,-5.389196254617696,7.227005367124482,0.7752541760953936,0.0009049072292937228,0.0346274736654516,0.8508887298607979
PLANNING_TP_LN,96,-0.025500189571623366,-0.22903921897165427,0.17803883982840754,0.8060289077848171,0.0006695056282798994,0.07861887786373778,0.8636024011980183
TOL_ACC,98,-0.11518317661181399,-1.3635315670200847,1.133165213796457,0.8564909299889243,0.00035535341327104145,0.15965644923707822,0.8863333631798554
PWM_TRIAL,96,-0.07198007801586948,-0.912074111495431,0.7681139554636921,0.8666370662203031,0.00031324665026104546,0.057503847678170183,0.8863333631798554
PLANNING_OST,96,-0.005978695827848497,-0.35756226859858714,0.34560487694289016,0.9734120020380546,1.2342526822897935e-05,0.030773357978838733,0.9734120020380546
