variable,n_obs,n_ids,interaction_beta,interaction_se,interaction_ci_low,interaction_ci_high,interaction_p_raw,partial_eta2_approx,aic,converged,method,q_fdr_bh
CBT_F_SPAN,202,101,-0.6423444976076563,0.26208367114009684,-1.1560190539782857,-0.1286699412370269,0.014249405580069196,0.05831623005906772,648.1324496008328,True,powell,0.34727731016727187
WM_ACC,197,101,0.8685959256417124,0.35862474899043345,0.16570433365574577,1.571487517627679,0.015434547118545416,0.05702725498971669,716.548988762311,True,powell,0.34727731016727187
TOL_TE,201,101,-18.629099364025183,8.994571149842571,-36.25813487409964,-1.0000638539507243,0.038344849805609954,0.042350416431094974,2025.8847120059133,True,powell,0.5751727470841493
TOL_TE_LN,201,101,-0.12733551503790183,0.06697923097003497,-0.25861239545136017,0.003941365375556505,0.05728637578105529,0.03592189749378827,59.50442026233259,True,powell,0.644471727536872
PLANNING_TP_LN,197,101,0.25429403735333966,0.16612778471300282,-0.07131043751556965,0.579898512222249,0.12584022389014773,0.02358577599231339,403.02608611006553,True,powell,0.7569109149152259
PWM_PERC,201,101,7.2276122086338965,4.769044792526179,-2.1195438253757093,16.5747682426435,0.1296392070492288,0.02313084743359426,1737.7379959047146,True,powell,0.7569109149152259
PLANNING_MATTI_MIN,197,101,-3.224921012965958,2.2052070701985262,-7.54704744900816,1.0972054230762445,0.14362837642611534,0.021572298324916885,1374.6449102450733,True,powell,0.7569109149152259
PWM_EFF,202,101,-2.662679425837317,1.9523211910715956,-6.489158646591986,1.1637997949173515,0.1726137852784273,0.01881543239267721,1368.920164168646,True,powell,0.7569109149152259
TOL_VIO_REG,202,101,0.6291866028708109,0.4957505036746594,-0.3424665296491133,1.600839735390735,0.20438408073467573,0.016334591212800516,870.8270682487796,True,powell,0.7569109149152259
PLANNING_TP,197,101,1031.2189623471065,827.484511463764,-590.6208778865923,2653.0588025808056,0.21268753526057937,0.015758396292569712,3710.1070059828553,True,powell,0.7569109149152259
PLANNING_TE,197,101,-1022.5071297679498,826.1818264656068,-2641.79375432206,596.7794947861604,0.21585341295368943,0.015545522338125154,3709.4863417648394,True,powell,0.7569109149152259
TOL_TP,202,101,12.129186602870806,9.804292523596143,-7.0868736372729515,31.345246843014564,0.21603874079463903,0.015533173253122638,2087.6854183637956,True,powell,0.7569109149152259
PLANNING_OST,197,101,0.3566400631210661,0.29127048447759846,-0.21423959621455968,0.9275197224566919,0.22079038956127717,0.015220694838611777,604.7734890393735,True,powell,0.7569109149152259
WM_SPAN,197,101,0.3667287425390751,0.3140957381785291,-0.24888759198836435,0.9823450770665145,0.24298028089639923,0.013859037691734773,618.0410894752515,True,powell,0.7569109149152259
CBT_B_SPAN,202,101,0.4509569377990399,0.3939273130987524,-0.32112640840114826,1.223040283999228,0.2523036383050753,0.013330242208611951,822.9788636349249,True,lbfgs,0.7569109149152259
RAVEN_T,202,101,16.7499999999997,16.906555337436235,-16.38623956400874,49.88623956400814,0.3218125721380405,0.010017860670337744,2287.535851539077,True,lbfgs,0.8224393022589842
RAVEN_T_LN,202,101,0.04681037911121984,0.04792636368460121,-0.047123567620566895,0.14074432584300656,0.32871046533310067,0.009738976328740809,-83.43250609417987,True,powell,0.8224393022589842
PLANNING_TE_LN,196,101,-0.09168151737439575,0.09950499760285395,-0.2867077289577339,0.10334469420894238,0.356854150810912,0.008675963180104936,247.30228685088082,True,powell,0.8224393022589842
PLANNING_ACC,197,101,-0.45071274489707286,0.49921687597551034,-1.429159842283672,0.5277343524895264,0.36661105167474595,0.008333264612467186,789.3433663371093,True,powell,0.8224393022589842
PLANNING_MATT,197,101,-3.4078671089159625,3.7750833614720887,-10.806894536037658,3.991160318205734,0.3666711641792615,0.008331191716694834,1630.897934255625,True,lbfgs,0.8224393022589842
TOL_TP_LN,202,101,0.11385973425986452,0.1307369808912545,-0.14238003973449553,0.37009950825422455,0.38380500772085935,0.007758700608753661,335.6219235370763,True,powell,0.8224393022589842
PLANNING_COMPOSITE,197,101,-1.677985477051416,2.0713097392447906,-5.737677966798256,2.3817070126954247,0.4178778607296325,0.006720261046950223,1367.8210572601824,True,powell,0.8507981063888713
PWM_COMPOSITE,196,101,2.340869069239404,2.998449881789832,-3.5359847085170495,8.217722846995859,0.4349830324187509,0.006244082772122271,1486.6498542941777,True,lbfgs,0.8507981063888713
TOL_ACC,199,101,-0.6061657299940988,0.8367037719710466,-2.246074988786164,1.0337435287979666,0.46877800991670127,0.0053817558599716766,1077.0903897645214,True,powell,0.8507981063888713
PWM_TE_LN,171,97,-0.1441126385255798,0.20652758387353273,-0.5488992647317792,0.26067398768061967,0.4853092734557185,0.005208314594778156,357.62194432372473,True,powell,0.8507981063888713
PLANNING_TR_LN,197,101,-0.06791542707042687,0.09874150697605738,-0.26144522452270985,0.12561437038185608,0.4915722392469034,0.004853473548399093,243.58748637952522,True,powell,0.8507981063888713
PWM_TP_LN,184,101,0.38119309468889484,0.6339602996908424,-0.8613462603333755,1.6237324497111651,0.5476477878841717,0.0037134574783878804,810.8649619191526,True,powell,0.8623872599003202
WM_TRIAL,197,101,0.2354643093541734,0.39689997349548967,-0.5424453441618884,1.0133739628702352,0.5530081229938947,0.003615291795636051,701.032408505384,True,powell,0.8623872599003202
TOL_TR_LN,202,101,-0.03459570588523293,0.06888401271188978,-0.16960588991113618,0.1004144781406703,0.6155048420861455,0.002593629395590199,85.87642972403387,True,powell,0.8623872599003202
PWM_MATT,197,101,-2.2854733870847403,4.605648183671967,-11.312377952544113,6.741431178374631,0.6197302189661807,0.0025321997860505794,1664.7984875794682,True,powell,0.8623872599003202
PWM_ACC,197,101,0.3779291343204634,0.785637212536111,-1.161891507164754,1.9177497758056807,0.6304824526845879,0.0023799623268571605,967.962507223888,True,powell,0.8623872599003202
PLANNING_TRIAL,197,101,-0.11440536727382905,0.23793209732267348,-0.5807437087923482,0.35193297424469,0.6306359019408696,0.0023778315794869163,548.0979702714264,True,powell,0.8623872599003202
TOL_TR,202,101,-6.86403508771939,14.350082471198501,-34.98967990644799,21.26160973100921,0.6324173239269014,0.002353180732253906,2246.262222138081,True,powell,0.8623872599003202
PLANNING_EFF,202,101,-0.932216905901114,2.8866880584137284,-6.590021534993877,4.72558772319165,0.7467433414958364,0.0010739791000475883,1577.9324347192119,True,powell,0.9883367755091953
PWM_TRIAL,197,101,-0.1439100310261979,0.5714741504580371,-1.2639787840195744,0.9761587219671787,0.8011782898145074,0.0006533311828419184,842.6040620223939,True,powell,0.9904350829446165
PWM_OST,197,101,-0.04996536691867199,0.23650360450277746,-0.5135039139580208,0.4135731801206768,0.8326790642029088,0.0004599293332187435,502.75286669821094,True,powell,0.9904350829446165
Raven_ACC,202,101,0.1606858054226564,0.8294090527657678,-1.46492606644973,1.7862976772950425,0.8463831559536279,0.00038679222617364015,1160.178058835243,True,lbfgs,0.9904350829446165
PLANNING_TR,197,101,4.263588752153342,24.20730923733849,-43.18186551565386,51.70904301996054,0.8601932609234733,0.00031970319580155527,2420.913984258952,True,powell,0.9904350829446165
PLANNING_PERC,201,101,-0.40177365540154886,2.3749515545105413,-5.056593167269624,4.253045856466527,0.8656618992122227,0.0002949534990875003,1493.766621270306,True,powell,0.9904350829446165
PWM_TR,197,101,2.3875675772273106,15.866453356673171,-28.710109564236753,33.485244718691376,0.8803867403952146,0.0002333879994328214,2152.3759016319077,True,powell,0.9904350829446165
PWM_MATT_MIN,197,101,0.2136592611916485,4.048884438050131,-7.722008414951305,8.149326937334601,0.9579152376463688,2.8707044332205965e-05,1614.036825427745,True,powell,0.9955940808475786
PWM_TP,197,101,96.50414181093007,2572.3299722772485,-4945.169960205392,5138.178243827253,0.9700733937185843,1.4509769522622483e-05,4156.957617180077,True,powell,0.9955940808475786
PWM_TE,197,101,-92.67975606244235,2571.990493295051,-5133.688491500149,4948.328979375264,0.9712550467633809,1.3386082530426116e-05,4156.905625403275,True,powell,0.9955940808475786
PWM_TR_LN,185,101,0.001270454830497466,0.19207887784244354,-0.37519722793156046,0.3777381375925554,0.9947226425163627,4.5101118025782307e-07,374.27946695127844,True,lbfgs,0.9955940808475786
PLANNING_SPAN,197,101,-0.001107038360035953,0.20047674416186925,-0.39403423665515025,0.39182015993507835,0.9955940808475786,3.1435868824963096e-07,429.8805105372021,True,powell,0.9955940808475786
