variable,n_obs,n_ids,interaction_beta,interaction_se,interaction_ci_low,interaction_ci_high,interaction_p_raw,partial_eta2_approx,aic,converged,method,q_fdr_bh
CBT_F_SPAN,184,92,-0.702651515151515,0.23863789297906177,-1.1703731907369999,-0.23492983956603014,0.0032355475459066225,0.08968319100064087,560.503354490774,True,lbfgs,0.14068085142893508
TOL_TE,183,92,-23.744058777151075,9.020549951035113,-41.42401180192444,-6.064105752377706,0.008482927889943781,0.07298723760153038,1838.724796477748,True,powell,0.14068085142893508
TOL_TE_LN,183,92,-0.17202103927515727,0.06621462008474997,-0.3017993098912697,-0.04224276865904483,0.009378723428595671,0.07123272883163281,45.5935584999969,True,lbfgs,0.14068085142893508
WM_ACC,179,92,0.8786202804376012,0.3807065309489066,0.1324491910985608,1.6247913697766416,0.02100649978887885,0.05707132601443661,655.247484404509,True,powell,0.23632312262488706
PLANNING_MATTI_MIN,179,92,-4.1302882787706166,2.1235505117891336,-8.292370801228918,0.0317942436876848,0.05177596826896471,0.04121670998261835,1222.9213291425817,True,powell,0.46598371442068237
PLANNING_ACC,179,92,-0.7790789792026781,0.45381869654715745,-1.6685472799460186,0.11038932154066228,0.08603060732029034,0.032404792249378374,670.4733828670818,True,powell,0.5990529862414717
PLANNING_COMPOSITE,179,92,-3.338158042716081,1.988388705599596,-7.235328292957505,0.5590122075253436,0.09318602008200672,0.031033953166395886,1225.4434469993748,True,powell,0.5990529862414717
TOL_ACC,181,92,-1.3010302034339039,0.8410369610036571,-2.9494323566680896,0.3473719498002821,0.12187872177826073,0.026473401303761215,963.1483189865304,True,powell,0.6231225306052736
PLANNING_OST,179,92,0.45449084478607166,0.304828757235849,-0.1429625408482958,1.0519442304204392,0.13596910218258154,0.02463889176858241,534.4333926401531,True,powell,0.6231225306052736
TOL_VIO_REG,184,92,0.7443181818181739,0.5178486492345892,-0.27064652012433643,1.7592828837606842,0.150624915973826,0.02293776584727162,785.5713828619016,True,lbfgs,0.6231225306052736
TOL_TR_LN,184,92,-0.08714397645537587,0.06492762081210827,-0.21439977484898137,0.04011182193822961,0.17954052363046513,0.020060074826631656,65.9252541425094,True,powell,0.6231225306052736
TOL_TR,184,92,-17.666666666666618,13.370307139067645,-43.87198712147797,8.538653788144735,0.18638939249984066,0.019454125212349967,2031.3944825498024,True,powell,0.6231225306052736
PWM_PERC,183,92,6.560384427051922,5.044308925887734,-3.3262793945819613,16.447048248685803,0.19341195714036075,0.018858374469428466,1592.2798376575452,True,powell,0.6231225306052736
PLANNING_TP_LN,179,92,0.22454131824404874,0.172824648236158,-0.11418876793962471,0.5632714044277222,0.193860342854974,0.01882117223026302,367.0574938617257,True,lbfgs,0.6231225306052736
PWM_TE_LN,154,88,-0.25529444741635016,0.21218901533783233,-0.6711772753935186,0.1605883805608183,0.22891967700903237,0.016940930911809322,327.6527099448954,True,powell,0.6867590310270971
PLANNING_TE,179,92,-1024.4116780676093,900.7109662976552,-2789.772732491284,740.9493763560654,0.2553975396518863,0.014486321681365313,3388.8555294859275,True,powell,0.7175785599700576
PLANNING_TP,179,92,1024.5250000000008,930.906677494714,-800.018560857482,2849.0685608574836,0.2710852337664662,0.013577293866846012,3400.6193071576467,True,lbfgs,0.7175785599700576
PLANNING_TE_LN,178,92,-0.1071295388108179,0.10555874630748184,-0.3140208798266827,0.09976180220504692,0.310162679039066,0.011568944386328191,229.28368928490363,True,lbfgs,0.7395181818706407
WM_SPAN,179,92,0.33697618708360566,0.3334645107114818,-0.3166022440331697,0.990554618200381,0.3122410101231594,0.011471121292453052,567.2351323109298,True,powell,0.7395181818706407
PWM_TRIAL,179,92,-0.4943988116577677,0.5975599959994662,-1.6655948824186202,0.6767972591030846,0.40803155338133557,0.007718696087686808,768.981057440773,True,powell,0.7471434732209793
PLANNING_TR_LN,179,92,-0.08480018245778943,0.10410785873566834,-0.28884783608728304,0.11924747117170416,0.41533474729552744,0.0074831040103084225,224.05155241890486,True,lbfgs,0.7471434732209793
PWM_EFF,184,92,-1.178030303030287,1.5301496286188618,-4.177068466080596,1.8210078600200215,0.44137158003551547,0.006690323470722536,1150.517243569344,True,lbfgs,0.7471434732209793
PLANNING_MATT,179,92,-2.9288802651603096,3.90361734773879,-10.579829676154105,4.722069145833487,0.45307463353718935,0.006356480064891864,1480.1258230041162,True,powell,0.7471434732209793
PWM_TR_LN,167,92,-0.14576543307365317,0.19617619127129515,-0.5302637025896326,0.23873283644232626,0.4574615498119635,0.0062347298513895115,336.50018205209585,True,powell,0.7471434732209793
RAVEN_T,184,92,12.854166666666956,18.134637741293403,-22.68907017894891,48.39740351228282,0.47843711774285125,0.005676948052305769,2097.2267510144047,True,powell,0.7471434732209793
PWM_MATT,179,92,-3.450601545359955,4.878638977952389,-13.012558235719936,6.111355145000026,0.479387681753905,0.005652593251997624,1520.6876104224857,True,powell,0.7471434732209793
PLANNING_PERC,183,92,-1.7092353532073363,2.467142306726587,-6.544745419126519,3.126274712711846,0.48843528512896084,0.005424632971185462,1362.8463311442765,True,powell,0.7471434732209793
RAVEN_T_LN,184,92,0.03486526183077658,0.05129778766582489,-0.06567655448082321,0.13540707814237637,0.4967172075601335,0.005221942864840888,-63.32470239159147,True,powell,0.7471434732209793
TOL_TP,184,92,6.473484848484815,9.55794411478051,-12.259741382731551,25.206711079701183,0.49822297796401915,0.005185691169578946,1894.9263401515186,True,powell,0.7471434732209793
