"block","predictor","outcome","n","residual_skewness","residual_excess_kurtosis","max_abs_studentized_residual","max_leverage","max_cooks_distance","cooks_threshold_4_over_n","n_cooks_above_threshold","breusch_pagan_p","vif"
"abas_subscales","ABAS_fun_acc","CBT_B_SPAN",96,-0.0893446377738248,-0.966885552874084,2.16965572374528,0.0956630810528072,0.0634285711192939,0.0416666666666667,3,0.88582126021414,
"abas_subscales","ABAS_Selfdirection","TOL_VIO_REG",97,1.18089781261186,1.96548988284711,3.62067349668502,0.113440362198025,0.171723441249888,0.0412371134020619,6,0.00268573020497786,
"abas_subscales","ABAS_Selfdirection","TOL_ACC",96,-0.142367159564317,-0.0600010754114219,2.98183559760393,0.113665056001684,0.252643407396241,0.0416666666666667,6,0.156670737823262,
"abas_subscales","ABAS_comm_use","CBT_B_SPAN",96,-0.0575465880367116,-1.08307436574832,2.17904176968425,0.0901618712328026,0.0783512654461198,0.0416666666666667,3,0.743354599887929,
"abas_subscales","ABAS_Selfcare","TOL_VIO_REG",97,1.23798821536058,1.64647562516312,3.44020941000858,0.119004429698895,0.337372757782899,0.0412371134020619,6,0.00717167409256394,
"abas_subscales","ABAS_soc","PLANNING_ACC",92,-3.87681402369496,17.2988352471334,7.8845004747812,0.11007632936626,0.86767445026505,0.0434782608695652,5,0.253761397118642,
"abas_subscales","ABAS_Health_saf_sic","TOL_VIO_REG",96,1.39021259153231,1.96564397207241,3.64897449884929,0.0934592005307901,0.16820373390491,0.0416666666666667,5,0.0496530731331915,
"abas_subscales","ABAS_comm_use","WM_ACC",91,0.935565374865766,2.39079378427954,4.54289287542092,0.0911231632639633,0.122783410492639,0.043956043956044,6,0.119125130315192,
"brief_indices","BRIEF_CRI","CBT_B_SPAN",96,-0.120943110603546,-0.918940677385655,2.04915921496105,0.102784428090971,0.0979522645275607,0.0416666666666667,2,0.601137946810766,
"brief_indices","BRIEF_CRI","TOL_VIO_REG",96,1.39650921347856,2.47210555838205,3.98033291989686,0.102784428090971,0.195541491637695,0.0416666666666667,7,0.0692034031390248,
"brief_indices","BRIEF_BRI","PLANNING_ACC",91,-3.70295319633682,16.1695755401729,7.63920112477119,0.133876197467483,0.991762436007764,0.043956043956044,4,0.105134110831364,
"brief_subscales","BRIEF_shift","CBT_B_SPAN",96,-0.156908876741017,-1.01024563021452,2.03472866675819,0.163224131118164,0.0621086522757794,0.0416666666666667,2,0.803543474820261,
"brief_subscales","BRIEF_TaskMonitor","CBT_B_SPAN",96,-0.142417662254676,-0.934527654223656,1.9234851146081,0.157857478844443,0.0734480452125396,0.0416666666666667,2,0.371921117914917,
"brief_subscales","BRIEF_Inhibit","PLANNING_ACC",91,-3.65645205152597,16.1828817802592,7.70421948820601,0.16179260126339,1.01362265971479,0.043956043956044,5,0.0557718264898778,
"brief_subscales","BRIEF_Initiate","CBT_B_SPAN",96,-0.124552430765584,-1.04958853668894,2.00413489904611,0.226710054623464,0.092701602977569,0.0416666666666667,3,0.568367439096909,
"brief_subscales","BRIEF_wm","CBT_B_SPAN",96,-0.108036975724258,-0.876765585306751,2.41708433041762,0.123131662899875,0.187593436982238,0.0416666666666667,3,0.450699558426871,
"brief_subscales","BRIEF_wm","TOL_VIO_REG",96,1.60566249328681,3.15884977869682,3.91402989845687,0.123131662899875,0.153671316589424,0.0416666666666667,6,0.361856745502878,
"totals_separate","ABAS_TOT_complete","TOL_VIO_REG",95,1.2965062678997,1.74386966506465,3.44512076206136,0.109043495858489,0.164045320554083,0.0421052631578947,5,0.0148316689887006,
"totals_separate","BRIEF_TOT_complete","TOL_VIO_REG",96,1.33813786032654,2.44323188159914,4.00915431193246,0.164273575752832,0.176278277649839,0.0416666666666667,7,0.0734030409798849,
"totals_separate","BRIEF_TOT_complete","CBT_B_SPAN",96,-0.096904408977027,-0.959389360797613,1.94583152637486,0.164273575752832,0.0842651229722299,0.0416666666666667,3,0.905044933804616,
"totals_separate","BRIEF_TOT_complete","PLANNING_ACC",91,-3.84459010810861,16.8733208157493,7.72795459121169,0.167050819019708,0.868681033858216,0.043956043956044,4,0.270775608199468,
"totals_separate","ABAS_TOT_complete","TOL_ACC",94,-0.13569757948402,0.0941339245471293,2.9550226600375,0.109052408878543,0.273120465403076,0.0425531914893617,9,0.0772117138030332,
