"block","model_type","outcome","outcome_label","pre_col","outcome_family","n","predictor","predictor_label","predictor_family","status","beta_standardized","se_hc3","ci_low","ci_high","p_value","r_squared","adj_r_squared","age_only_r_squared","delta_r_squared_vs_age","partial_r_squared","vif","formula","residual_skewness","residual_excess_kurtosis","max_abs_studentized_residual","max_leverage","max_cooks_distance","cooks_threshold_4_over_n","n_cooks_above_threshold","breusch_pagan_p","q_fdr_bh","significant_raw_p05","significant_fdr05"
"abas_subscales","separate","PWM_EFF","Moles WM-planning tile difference (EFF)","PWM_EFF_PRE","Moles working-memory planning",97,"ABAS_Leisure","ABAS Leisure","ABAS-II","ok",0.0643470470426026,0.0805045800669368,-0.0934390304791146,0.22213312456432,0.424118378529816,0.0169255433005821,-0.00399093450153321,0.0131637378598477,0.0037618054407344,0.00381198541749563,,"outcome_z ~ ABAS_Leisure_z + age_z",-2.88789843442503,19.593071581305,8.64836531537191,0.127538869707856,0.288382574855578,0.0412371134020619,4,0.638168916663639,0.605723555307532,"False","False"
"abas_subscales","separate","PWM_EFF","Moles WM-planning tile difference (EFF)","PWM_EFF_PRE","Moles working-memory planning",96,"ABAS_comm_use","ABAS Communication","ABAS-II","ok",0.112839858533795,0.142688749751413,-0.166824951978023,0.392504669045613,0.429054185009502,0.0247988634284703,0.00382679597531921,0.0164471899759948,0.00835167345247554,0.00849133200307932,,"outcome_z ~ ABAS_comm_use_z + age_z",-3.09857972405159,20.9289026815964,9.0031561529623,0.0901618712328026,0.398852850658481,0.0416666666666667,5,0.45002677617688,0.605723555307532,"False","False"
"abas_subscales","separate","PLANNING_EFF","Moles planning tile difference (EFF)","PLANNING_EFF_PRE","Moles planning",97,"ABAS_soc","ABAS Social","ABAS-II","ok",0.0847283219614214,0.110019659529561,-0.130906248307877,0.30036289223072,0.441228811543416,0.072979192098035,0.0532553451213976,0.066572776112861,0.006406415985174,0.00686332669674572,,"outcome_z ~ ABAS_soc_z + age_z",1.31693061709597,2.79311795676011,4.86738018188201,0.0986908131513331,0.111751732515482,0.0412371134020619,7,0.673653122392112,0.610932200598576,"False","False"
"abas_subscales","separate","WM_ACC","Moles working-memory accuracy","WM_ACC_PRE","Moles working memory",92,"ABAS_school_liv","ABAS School Living","ABAS-II","ok",0.0647114581817551,0.110716806422566,-0.152289494889767,0.281712411253277,0.558899244821206,0.102898953506529,0.082739379428024,0.0995302007892499,0.00336875271727913,0.00374110572084916,,"outcome_z ~ ABAS_school_liv_z + age_z",1.14948621345128,2.4523235410088,4.54221571160803,0.133558190651916,0.106893632994041,0.0434782608695652,7,0.914664351555988,0.746625430094908,"False","False"
"abas_subscales","separate","PLANNING_EFF","Moles planning tile difference (EFF)","PLANNING_EFF_PRE","Moles planning",96,"ABAS_Health_saf_sic","ABAS Health and Safety","ABAS-II","ok",0.0713164428779761,0.127612575774138,-0.178799609613722,0.321432495369674,0.576263266960466,0.0705143300903779,0.0505253909525366,0.0659888286377345,0.00452550145264344,0.00484523268179222,,"outcome_z ~ ABAS_Health_saf_sic_z + age_z",1.23869376094767,2.46182528519504,4.8074920054624,0.0934592005307901,0.281717347080446,0.0416666666666667,5,0.321590581106711,0.746625430094908,"False","False"
"abas_subscales","separate","CBT_B_SPAN","Corsi backward span","CBT_B_SPAN_PRE","Corsi",96,"ABAS_Health_saf_sic","ABAS Health and Safety","ABAS-II","ok",-0.0595423268952117,0.108776195359943,-0.272739752175993,0.15365509838557,0.584115084285778,0.107402105755428,0.0882064521157594,0.104247544481667,0.0031545612737605,0.00352168867004108,,"outcome_z ~ ABAS_Health_saf_sic_z + age_z",-0.0661513918259488,-1.18823451001454,1.76615263315977,0.0934592005307901,0.0652926364867326,0.0416666666666667,5,0.705362548599171,0.746625430094908,"False","False"
"abas_subscales","separate","CBT_F_SPAN","Corsi forward span","CBT_F_SPAN_PRE","Corsi",96,"ABAS_comm_use","ABAS Communication","ABAS-II","ok",0.087062374044036,0.161717154352758,-0.229897424169675,0.404022172257747,0.59032714095395,0.0719586982635808,0.0520008208068836,0.066986946343623,0.00497175191995784,0.00532870563865546,,"outcome_z ~ ABAS_comm_use_z + age_z",-1.33241701474435,2.82369208042547,3.72411163379918,0.0901618712328026,0.248034898078148,0.0416666666666667,7,0.714946019594041,0.746625430094908,"False","False"
"abas_subscales","separate","PWM_EFF","Moles WM-planning tile difference (EFF)","PWM_EFF_PRE","Moles working-memory planning",97,"ABAS_Selfdirection","ABAS Self-Direction","ABAS-II","ok",0.0553329609857721,0.107417862757634,-0.155202181315456,0.265868103287001,0.606470003440992,0.0157299000445912,-0.00521201697573659,0.0131637378598477,0.00256616218474354,0.00260039307754882,,"outcome_z ~ ABAS_Selfdirection_z + age_z",-2.83578904342146,19.3291120566412,8.5746085938476,0.113440362198025,0.248309002137877,0.0412371134020619,6,0.755319420065036,0.746625430094908,"False","False"
"abas_subscales","separate","CBT_F_SPAN","Corsi forward span","CBT_F_SPAN_PRE","Corsi",96,"ABAS_Health_saf_sic","ABAS Health and Safety","ABAS-II","ok",0.0502088712653882,0.10383581797205,-0.153305592265086,0.253723334795863,0.628711682800023,0.0739153342961353,0.0539995350336866,0.0716722361396093,0.002243098156526,0.00241627821966498,,"outcome_z ~ ABAS_Health_saf_sic_z + age_z",-1.32982945291585,2.50658282929305,3.38386877426567,0.0934592005307901,0.121394073107262,0.0416666666666667,7,0.749463831521187,0.746625430094908,"False","False"
"abas_subscales","separate","PLANNING_ACC","Moles planning accuracy","PLANNING_ACC_PRE","Moles planning",91,"ABAS_fun_acc","ABAS Functional Academics","ABAS-II","ok",-0.0595348565390647,0.125236170805621,-0.304993240879788,0.185923527801659,0.634515659682989,0.0300849307605667,0.00804140645967055,0.027978299791863,0.00210663096870374,0.00216726742649138,,"outcome_z ~ ABAS_fun_acc_z + age_z",-3.74700685166899,15.8938556699322,7.63764633841805,0.0983645016686743,0.95098580187246,0.043956043956044,4,0.144201006063184,0.746625430094908,"False","False"
