"block","model_type","outcome","outcome_label","pre_col","outcome_family","n","predictor","predictor_label","predictor_family","status","beta_standardized","se_hc3","ci_low","ci_high","p_value","r_squared","adj_r_squared","age_only_r_squared","delta_r_squared_vs_age","partial_r_squared","vif","formula","residual_skewness","residual_excess_kurtosis","max_abs_studentized_residual","max_leverage","max_cooks_distance","cooks_threshold_4_over_n","n_cooks_above_threshold","breusch_pagan_p","q_fdr_bh","significant_raw_p05","significant_fdr05"
"abas_subscales","separate","CBT_B_SPAN","Corsi backward span","CBT_B_SPAN_PRE","Corsi",96,"ABAS_fun_acc","ABAS Functional Academics","ABAS-II","ok",0.396446324547421,0.106557484962116,0.187597491738505,0.605295157356336,0.000198834640286523,0.193265368864842,0.175916237012473,0.101796413601762,0.0914689552630803,0.101835437587003,,"outcome_z ~ ABAS_fun_acc_z + age_z",-0.0893446377738248,-0.966885552874084,2.16965572374528,0.0956630810528072,0.0634285711192939,0.0416666666666667,3,0.88582126021414,0.0143160941006297,"True","True"
"abas_subscales","separate","TOL_VIO_REG","Tower of London rule violations","TOL_VIO_REG_PRE","Tower of London",97,"ABAS_Selfdirection","ABAS Self-Direction","ABAS-II","ok",-0.417313411462663,0.1221915732797,-0.656804494305163,-0.177822328620164,0.000637260980514247,0.225570267092568,0.209093038732835,0.0796078779411582,0.14596238915141,0.158587177848615,,"outcome_z ~ ABAS_Selfdirection_z + age_z",1.18089781261186,1.96548988284711,3.62067349668502,0.113440362198025,0.171723441249888,0.0412371134020619,6,0.00268573020497786,0.0229413952985129,"True","True"
"abas_subscales","separate","TOL_ACC","Tower of London accuracy","TOL_ACC_PRE","Tower of London",96,"ABAS_Selfdirection","ABAS Self-Direction","ABAS-II","ok",0.344766485829543,0.111097239467169,0.127019897692071,0.562513073967016,0.00191384719383556,0.201174112857468,0.183995061521069,0.100910389952171,0.100263722905296,0.11151694089754,,"outcome_z ~ ABAS_Selfdirection_z + age_z",-0.142367159564317,-0.0600010754114219,2.98183559760393,0.113665056001684,0.252643407396241,0.0416666666666667,6,0.156670737823262,0.0385629151549588,"True","True"
"abas_subscales","separate","CBT_B_SPAN","Corsi backward span","CBT_B_SPAN_PRE","Corsi",96,"ABAS_comm_use","ABAS Communication","ABAS-II","ok",0.332998696039961,0.108477483910758,0.120386734441352,0.545610657638571,0.00214238417527549,0.17452974918885,0.156777700784309,0.101796413601762,0.0727333355870883,0.0809764475320637,,"outcome_z ~ ABAS_comm_use_z + age_z",-0.0575465880367116,-1.08307436574832,2.17904176968425,0.0901618712328026,0.0783512654461198,0.0416666666666667,3,0.743354599887929,0.0385629151549588,"True","True"
"abas_subscales","separate","TOL_VIO_REG","Tower of London rule violations","TOL_VIO_REG_PRE","Tower of London",97,"ABAS_Selfcare","ABAS Self-Care","ABAS-II","ok",-0.406776623108335,0.136526179073474,-0.674363017039209,-0.139190229177461,0.00288740818310095,0.210162422185638,0.193357367338524,0.0796078779411582,0.13055454424448,0.141846655480319,,"outcome_z ~ ABAS_Selfcare_z + age_z",1.23798821536058,1.64647562516312,3.44020941000858,0.119004429698895,0.337372757782899,0.0412371134020619,6,0.00717167409256394,0.0415786778366537,"True","True"
"abas_subscales","separate","PLANNING_ACC","Moles planning accuracy","PLANNING_ACC_PRE","Moles planning",92,"ABAS_soc","ABAS Social","ABAS-II","ok",0.229407362654508,0.0802968030400599,0.0720285206222847,0.386786204686732,0.00427675967085992,0.0749952402298671,0.0542086164148079,0.0269244887360771,0.04807075149379,0.0494008439605588,,"outcome_z ~ ABAS_soc_z + age_z",-3.87681402369496,17.2988352471334,7.8845004747812,0.11007632936626,0.86767445026505,0.0434782608695652,5,0.253761397118642,0.0488193989137468,"True","True"
"abas_subscales","separate","TOL_VIO_REG","Tower of London rule violations","TOL_VIO_REG_PRE","Tower of London",96,"ABAS_Health_saf_sic","ABAS Health and Safety","ABAS-II","ok",-0.313301231061286,0.111164465014589,-0.531179578850543,-0.0954228832720284,0.00482699949016079,0.162917129067479,0.144915346896887,0.0755774554276971,0.0873396736397815,0.0944802505657091,,"outcome_z ~ ABAS_Health_saf_sic_z + age_z",1.39021259153231,1.96564397207241,3.64897449884929,0.0934592005307901,0.16820373390491,0.0416666666666667,5,0.0496530731331915,0.0488193989137468,"True","True"
"abas_subscales","separate","WM_ACC","Moles working-memory accuracy","WM_ACC_PRE","Moles working memory",91,"ABAS_comm_use","ABAS Communication","ABAS-II","ok",0.367245270925693,0.132069912020221,0.108392999924687,0.626097541926699,0.00542437765708298,0.190416116267444,0.17201648254625,0.100177064109524,0.0902390521579197,0.100285343436615,,"outcome_z ~ ABAS_comm_use_z + age_z",0.935565374865766,2.39079378427954,4.54289287542092,0.0911231632639633,0.122783410492639,0.043956043956044,6,0.119125130315192,0.0488193989137468,"True","True"
"brief_indices","separate","CBT_B_SPAN","Corsi backward span","CBT_B_SPAN_PRE","Corsi",96,"BRIEF_CRI","BRIEF Cognitive Regulation Index","BRIEF-2","ok",-0.294314798880226,0.0858224651992424,-0.462523739735183,-0.126105858025268,0.000605041026001204,0.195450352022886,0.178148209055636,0.114737866022369,0.0807124860005164,0.0911735438608018,,"outcome_z ~ BRIEF_CRI_z + age_z",-0.120943110603546,-0.918940677385655,2.04915921496105,0.102784428090971,0.0979522645275607,0.0416666666666667,2,0.601137946810766,0.0163361077020325,"True","True"
"brief_indices","separate","TOL_VIO_REG","Tower of London rule violations","TOL_VIO_REG_PRE","Tower of London",96,"BRIEF_CRI","BRIEF Cognitive Regulation Index","BRIEF-2","ok",0.359585243145819,0.118357410705359,0.127608980859899,0.591561505431739,0.00238050949219767,0.196058921951033,0.17876986650912,0.0755774554276971,0.120481466523336,0.130331596985314,,"outcome_z ~ BRIEF_CRI_z + age_z",1.39650921347856,2.47210555838205,3.98033291989686,0.102784428090971,0.195541491637695,0.0416666666666667,7,0.0692034031390248,0.0298914087148252,"True","True"
