variable,n_obs,n_ids,interaction_beta,interaction_se,interaction_ci_low,interaction_ci_high,interaction_p_raw,partial_eta2_approx,aic,converged,method,q_fdr_bh
CBT_F_SPAN,202,101,-0.6423444976076553,0.2620836779410599,-1.1560190673079274,-0.1286699279073833,0.014249408097744751,0.058887915814527306,639.5637972525524,True,powell,0.3676900334466747
WM_ACC,197,101,0.8528001836985238,0.3589467949978176,0.14927739313671928,1.5563229742603284,0.017509049211746414,0.05553285872433324,713.004645342608,True,powell,0.3676900334466747
TOL_TE,201,101,-18.59791799467334,8.992100118732344,-36.22211037276708,-0.9737256165796033,0.03861644840928178,0.04265816727741607,2020.4212609829476,True,powell,0.5406302777299449
TOL_TE_LN,201,101,-0.1271122831843151,0.0669626223040545,-0.2583566112106205,0.004132044841990257,0.05766220266561328,0.03617729198928218,54.40270724695006,True,powell,0.6054531279889395
PLANNING_TP_LN,197,101,0.2565753137269663,0.16617654985026917,-0.06912473905468619,0.5822753665086188,0.12259019754213274,0.024230711854875988,405.3666601413199,True,powell,0.7114843664578855
PWM_PERC,201,101,7.226362797502971,4.768870605663933,-2.1204518365300524,16.573177431535996,0.12969150307349178,0.023359941231898638,1738.9279051359274,True,powell,0.7114843664578855
PLANNING_MATTI_MIN,197,101,-3.17183410836106,2.1893545712137183,-7.462890217328081,1.1192220006059603,0.14740656010394737,0.02139560899053958,1373.7582504890984,True,powell,0.7114843664578855
PWM_EFF,202,101,-2.662679425837297,1.9523217651785139,-6.489159771820849,1.1638009201462545,0.17261391152936023,0.019007690116611495,1368.86304733531,True,powell,0.7114843664578855
TOL_VIO_REG,202,101,0.6291866028708258,0.49575028525655135,-0.3424661015574729,1.6008393072991245,0.20438388134237406,0.016501949668355494,856.6413173832352,True,powell,0.7114843664578855
PLANNING_OST,197,101,0.36147746958547,0.29119866251930326,-0.20926142129859815,0.9322163604695382,0.2144790049549714,0.015797807238238405,604.7676056296227,True,lbfgs,0.7114843664578855
TOL_TP,202,101,12.129186602870883,9.804292820534016,-7.086874219260414,31.345247425002178,0.21603875470257827,0.01569243710806541,2090.36794480982,True,powell,0.7114843664578855
PLANNING_TP,197,101,1022.2678432348305,827.4762575535638,-599.5558196321444,2644.0915061018054,0.21668002089441263,0.015649371704037053,3712.06052687627,True,powell,0.7114843664578855
PLANNING_TE,197,101,-1012.0955417743774,825.5671191628079,-2630.177362153968,605.9862786052133,0.22022135152267885,0.015414185809939416,3711.1501641799687,True,powell,0.7114843664578855
CBT_B_SPAN,202,101,0.45095693779904217,0.3939269538930545,-0.3211257043709151,1.2230395799689995,0.2523032057770699,0.013467253113131107,811.001997069166,True,powell,0.7284589739947153
WM_SPAN,197,101,0.35366325661893533,0.31408709531647966,-0.26193613821016387,0.9692626514480345,0.26016391928382687,0.013034975719218142,613.0630935876329,True,powell,0.7284589739947153
PLANNING_ACC,197,101,-0.44731369858861963,0.49654294515318176,-1.4205199878663033,0.5258925906890639,0.3676648805298184,0.008382694312648946,789.1842287782517,True,lbfgs,0.8484110792182881
PLANNING_TE_LN,196,101,-0.08869432139502283,0.09968481816188338,-0.2840729747977385,0.10668433200769285,0.3736014627442418,0.008178914950997538,239.94167863473103,True,powell,0.8484110792182881
PLANNING_MATT,197,101,-3.3347668399774766,3.7777894229004363,-10.739098050038686,4.069564370083734,0.3773823432938128,0.00805143656850854,1631.9622346571464,True,powell,0.8484110792182881
TOL_TP_LN,202,101,0.11385973425986722,0.1307369820751407,-0.14238004205486715,0.3700995105746016,0.38380501202732076,0.007838886728651588,338.1791147413328,True,powell,0.8484110792182881
PLANNING_COMPOSITE,197,101,-1.6799115363016945,2.071222534816749,-5.73943310851028,2.3796100359068912,0.4173240658188353,0.006805847612678581,1368.5872610478373,True,powell,0.8610448584806457
PWM_COMPOSITE,196,101,2.3652713227854463,3.0004787330148615,-3.5155589303020545,8.246101575872947,0.4305224292403229,0.006431428403576324,1488.8502604626783,True,powell,0.8610448584806457
